Marketing and Branding,
Market Research,20000.00
Branding,13333.33
Customer Intelligence Gathering,6666.67
TOTAL,40000.00
Operational Costs,
Equipment Acquisition,100000.00
Delivery System,20000.00
Customer Information System,20000.00
Inventory System,15000.00
Ordering System,15000.00
Communication System,20000.00
TOTAL,190000.00
Overhead Costs,
Rent & Utilities,90000.00
Fishball Base Ingredients,3750
Toppings,20000
Packaging Costs,5000
TOTAL,118750
Maintenance Costs,
Sanitation Program,0
TOTAL,0
Human Resource Costs,
Employee Management,3000
Employee Workshops,6000
Employee Healthcare,7000
Employee of the Month Bonuses,1000
Employee Acquisition,20000
TOTAL,37000
HR - Training Program Costs,
Product Developer Training Program,40000
Production Employee Training Program,9000
Account Officer Training Program,4500
Other Training Programs,10500
TOTAL,64000
