Monthly Fixed Cost,Cost in Php
Profit,0.00
Capital Payment Installment,35708.33
Marketing & Branding,15000.00
Market Research,10000.00
Product Development,10000.00
Customer Information System,5000.00
Employee Acquisition,2000.00
Delivery System,30000.00
Communication Systems,5000.00
Inventory & Ordering System,10000.00
Sanitation Program,5000.00
Employee Management & Healthcare,20000.00
Employee of the Month & other Bonuses,5000.00
Employee Training Program,10000.00
Rent & Utilities,90000.00
Management Salaries,60000.00
Maintenance,10000.00
Employee Salaries,80000.00
Total,402708.33
