Id,Age,Are you enrolled in a school?,Monthly Salary,Monthly Salary,More than once per week,Once a week,Once or twice per month,Once or twice per year,Never,Whenever I come across street food,Street vendors,Tiangges,Parks or Attractions,Supermarket,Mall stalls,JSEC,School,UP,How much do you usually pay for an order of streetfood type products?,Shiitake mushrooms,Caramelized onions,"Flavor powders (cheese, chili, sour cream, etc.)",How willing would you be to buy our streetfood products?,"If ever we establish a new store, how much are you willing to pay for our streetfood product?",Taste of products,Choices available,Short waiting time,Attitude of workers,Cleanliness,Affordability,,
1,19,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,1,3,3,3,1,2,2,3,2,,
2,20,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,3,1,0,0,2,3,3,2,3,2,2,3,,
3,20,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,5,0,0,1,3,6,3,2,2,2,3,2,,
4,18,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,3,0,0,1,1,5,3,1,2,2,2,2,,
5,20,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,1,0,0,1,4,2,0,2,2,3,3,,
6,19,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,4,1,0,1,2,4,3,1,2,2,3,3,,
7,19,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,0,2,3,3,1,2,2,3,3,,
8,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,1,2,3,1,1,2,3,2,,
9,20,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,1,2,2,3,1,3,3,2,,
10,20,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,1,1,3,5,3,2,0,1,2,3,,
11,21,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,2,1,1,1,2,3,3,1,2,3,3,1,,
12,19,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,4,0,0,1,2,2,3,3,3,2,3,3,,
13,21,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,3,2,3,2,2,3,3,3,,
14,19,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,3,3,3,3,1,1,2,3,,
